dataset_id,feature,variance,nunique,is_low_variance
FD001,op_setting_1,4.810400962568378e-06,164,False
FD001,op_setting_2,8.61044685815052e-08,14,False
FD001,op_setting_3,0.0,1,True
FD001,sensor_1,0.0,1,True
FD001,sensor_2,0.22542467669490096,315,False
FD001,sensor_3,34.109381272802075,3156,False
FD001,sensor_4,71.10969151356512,4206,False
FD001,sensor_5,3.1555371820422305e-30,1,True
FD001,sensor_6,2.310143112702315e-06,2,True
FD001,sensor_7,0.6955060282277302,523,False
FD001,sensor_8,0.004520158745881126,54,False
FD001,sensor_9,360.17532085343504,6882,False
FD001,sensor_10,4.930526846940985e-32,1,True
FD001,sensor_11,0.06224829452442759,162,False
FD001,sensor_12,0.4808916658903427,436,False
FD001,sensor_13,0.004572463299165618,56,False
FD001,sensor_14,268.38572892670726,6457,False
FD001,sensor_15,0.0012502980114496613,1975,False
FD001,sensor_16,1.0833677153923063e-34,1,True
FD001,sensor_17,2.155091875007751,13,False
FD001,sensor_18,0.0,1,True
FD001,sensor_19,0.0,1,True
FD001,sensor_20,0.02915795551951837,123,False
FD001,sensor_21,0.010418942160987684,5014,False
FD002,op_setting_1,217.84396419986166,536,False
FD002,op_setting_2,0.0963451960588281,105,False
FD002,op_setting_3,202.48691106422137,2,True
FD002,sensor_1,697.7388850880694,6,False
FD002,sensor_2,1391.9167824094109,1635,False
FD002,sensor_3,11227.665192559054,13092,False
FD002,sensor_4,14183.795504706377,16767,False
FD002,sensor_5,13.087707491679033,6,False
FD002,sensor_6,29.567680164785283,14,False
FD002,sensor_7,21371.965956695953,2128,False
FD002,sensor_8,21076.202074650748,900,False
FD002,sensor_9,112767.42991922695,25498,False
FD002,sensor_10,0.01627142060999616,9,False
FD002,sensor_11,10.437296005450616,691,False
FD002,sensor_12,18997.532384160662,1722,False
FD002,sensor_13,16383.469441172292,517,False
FD002,sensor_14,7133.557132789496,16162,False
FD002,sensor_15,0.5605458762567056,8801,False
FD002,sensor_16,2.1952987586095648e-05,2,True
FD002,sensor_17,770.4433948006127,54,False
FD002,sensor_18,21109.604333442785,6,False
FD002,sensor_19,28.741106055343025,2,True
FD002,sensor_20,97.70543667972092,519,False
FD002,sensor_21,35.17091408617292,19893,False
FD003,op_setting_1,4.825327298191098e-06,163,False
FD003,op_setting_2,8.651633227952487e-08,14,False
FD003,op_setting_3,0.0,1,True
FD003,sensor_1,0.0,1,True
FD003,sensor_2,0.24280559210980884,344,False
FD003,sensor_3,41.53940359747433,3521,False
FD003,sensor_4,81.3453523417495,4548,False
FD003,sensor_5,2.8399679965242836e-29,1,True
FD003,sensor_6,0.0003063061540007623,17,False
FD003,sensor_7,9.160995960962042,1882,False
FD003,sensor_8,0.02465904709070234,167,False
FD003,sensor_9,311.4673941294178,7725,False
FD003,sensor_10,9.217307523069513e-06,4,False
FD003,sensor_11,0.07658720999156787,175,False
FD003,sensor_12,8.216526030339342,1796,False
FD003,sensor_13,0.02458497525487609,169,False
FD003,sensor_14,211.23001243069368,6767,False
FD003,sensor_15,0.002877290188839721,3152,False
FD003,sensor_16,0.0,1,True
FD003,sensor_17,2.740234354601105,13,False
FD003,sensor_18,0.0,1,True
FD003,sensor_19,0.0,1,True
FD003,sensor_20,0.04934744370661488,165,False
FD003,sensor_21,0.017796543967525082,6698,False
FD004,op_setting_1,217.685302005415,536,False
FD004,op_setting_2,0.09608112121269502,105,False
FD004,op_setting_3,202.65025104853612,2,True
FD004,sensor_1,696.4578854458572,6,False
FD004,sensor_2,1388.1095836097315,1732,False
FD004,sensor_3,11210.17391918683,14411,False
FD004,sensor_4,14136.88551933471,18844,False
FD004,sensor_5,13.064922483983018,6,False
FD004,sensor_6,29.491702090086985,62,False
FD004,sensor_7,21450.219001960053,6168,False
FD004,sensor_8,21054.78466653431,1053,False
FD004,sensor_9,112865.0228707851,28393,False
FD004,sensor_10,0.016224826057366862,21,False
FD004,sensor_11,10.446803989884385,757,False
FD004,sensor_12,19065.472460616787,5862,False
FD004,sensor_13,16396.44763195766,488,False
FD004,sensor_14,7239.032092966426,16895,False
FD004,sensor_15,0.559426428260222,12315,False
FD004,sensor_16,2.162419079720559e-05,2,True
FD004,sensor_17,768.9070629233925,55,False
FD004,sensor_18,21091.525388308095,6,False
FD004,sensor_19,28.764290624595404,2,True
FD004,sensor_20,98.28639187048424,654,False
FD004,sensor_21,35.39148150655265,23791,False
